County,State,Population 2000
,,
,,
Autauga County,Alabama,43671
Baldwin County,Alabama,140415
Barbour County,Alabama,29038
Bibb County,Alabama,20826
Blount County,Alabama,51024
Bullock County,Alabama,11714
Butler County,Alabama,21399
Calhoun County,Alabama,112249
Chambers County,Alabama,36583
Cherokee County,Alabama,23988
Chilton County,Alabama,39593
Choctaw County,Alabama,15922
Clarke County,Alabama,27867
Clay County,Alabama,14254
Cleburne County,Alabama,14123
Coffee County,Alabama,43615
Colbert County,Alabama,54984
Conecuh County,Alabama,14089
Coosa County,Alabama,12202
Covington County,Alabama,37631
Crenshaw County,Alabama,13665
Cullman County,Alabama,77483
Dale County,Alabama,49129
Dallas County,Alabama,46365
DeKalb County,Alabama,64452
Elmore County,Alabama,65874
Escambia County,Alabama,38440
Etowah County,Alabama,103459
Fayette County,Alabama,18495
Franklin County,Alabama,31223
Geneva County,Alabama,25764
Greene County,Alabama,9974
Hale County,Alabama,17185
Henry County,Alabama,16310
Houston County,Alabama,88787
Jackson County,Alabama,53926
Jefferson County,Alabama,662047
Lamar County,Alabama,15904
Lauderdale County,Alabama,87966
Lawrence County,Alabama,34803
Lee County,Alabama,115092
Limestone County,Alabama,65676
Lowndes County,Alabama,13473
Macon County,Alabama,24105
Madison County,Alabama,276700
Marengo County,Alabama,22539
Marion County,Alabama,31214
Marshall County,Alabama,82231
Mobile County,Alabama,399843
Monroe County,Alabama,24324
Montgomery County,Alabama,223510
Morgan County,Alabama,111064
Perry County,Alabama,11861
Pickens County,Alabama,20949
Pike County,Alabama,29605
Randolph County,Alabama,22380
Russell County,Alabama,49756
St. Clair County,Alabama,64742
Shelby County,Alabama,143293
Sumter County,Alabama,14798
Talladega County,Alabama,80321
Tallapoosa County,Alabama,41475
Tuscaloosa County,Alabama,164875
Walker County,Alabama,70713
Washington County,Alabama,18097
Wilcox County,Alabama,13183
Winston County,Alabama,24843
Aleutians East Borough,Alaska,2697
Aleutians West Census Area,Alaska,5465
"Anchorage, Municipality of",Alaska,260283
Bethel Census Area,Alaska,16006
Bristol Bay Borough,Alaska,1258
Denali Borough,Alaska,1893
Dillingham Census Area,Alaska,4922
Fairbanks North Star Borough,Alaska,82840
Haines Borough,Alaska,2392
Hoonah-Angoon Census Area,Alaska,
"Juneau, City and Borough",Alaska,30711
Kenai Peninsula Borough,Alaska,49691
Ketchikan Gateway Borough,Alaska,14070
Kodiak Island Borough,Alaska,13913
Lake and Peninsula Borough,Alaska,1823
Matanuska-Susitna Borough,Alaska,59322
Nome Census Area,Alaska,9196
North Slope Borough,Alaska,7385
Northwest Arctic Borough,Alaska,7208
Petersburg Census Area,Alaska,
Prince of Wales-Hyder Census Area,Alaska,6146
"Sitka, City and Borough of",Alaska,8835
"Skagway Borough, Municipality of",Alaska,3436
Southeast Fairbanks Census Area,Alaska,6174
Valdez-Cordova Census Area,Alaska,10195
Wade Hampton Census Area,Alaska,7028
"Wrangell, City and Borough of",Alaska,6684
"Yakutat, City and Borough of",Alaska,808
Yukon-Koyukuk Census Area,Alaska,6551
Apache County,Arizona,69423
Cochise County,Arizona,117755
Coconino County,Arizona,116320
Gila County,Arizona,51335
Graham County,Arizona,33489
