County,State,Population 2010,,,
,,,,,
,,,,,
Autauga County,Alabama,55514,,,
Baldwin County,Alabama,190790,,,
Barbour County,Alabama,27201,,,
Bibb County,Alabama,22597,,,
Blount County,Alabama,57826,,,
Bullock County,Alabama,10474,,,
Butler County,Alabama,20307,,,
Calhoun County,Alabama,117296,,,
Chambers County,Alabama,34064,,,
Cherokee County,Alabama,26021,,,
Chilton County,Alabama,43819,,,
Choctaw County,Alabama,13633,,,
Clarke County,Alabama,25161,,,
Clay County,Alabama,13435,,,
Cleburne County,Alabama,14832,,,
Coffee County,Alabama,51252,,,
Colbert County,Alabama,54446,,,
Conecuh County,Alabama,12981,,,
Coosa County,Alabama,10966,,,
Covington County,Alabama,37955,,,
Crenshaw County,Alabama,14083,,,
Cullman County,Alabama,80440,,,
Dale County,Alabama,50444,,,
Dallas County,Alabama,42864,,,
DeKalb County,Alabama,71080,,,
Elmore County,Alabama,80629,,,
Escambia County,Alabama,37994,,,
Etowah County,Alabama,104392,,,
Fayette County,Alabama,16983,,,
Franklin County,Alabama,31761,,,
Geneva County,Alabama,26931,,,
Greene County,Alabama,8876,,,
Hale County,Alabama,15388,,,
Henry County,Alabama,17287,,,
Houston County,Alabama,103402,,,
Jackson County,Alabama,53019,,,
Jefferson County,Alabama,660009,,,
Lamar County,Alabama,14259,,,
Lauderdale County,Alabama,92542,,,
Lawrence County,Alabama,33838,,,
Lee County,Alabama,147257,,,
Limestone County,Alabama,87654,,,
Lowndes County,Alabama,10857,,,
Macon County,Alabama,20535,,,
Madison County,Alabama,343080,,,
Marengo County,Alabama,20401,,,
Marion County,Alabama,30327,,,
Marshall County,Alabama,94776,,,
Mobile County,Alabama,413936,,,
Monroe County,Alabama,22602,,,
Montgomery County,Alabama,230149,,,
Morgan County,Alabama,120395,,,
Perry County,Alabama,10181,,,
Pickens County,Alabama,19405,,,
Pike County,Alabama,33182,,,
Randolph County,Alabama,22675,,,
Russell County,Alabama,57820,,,
St. Clair County,Alabama,85237,,,
Shelby County,Alabama,200941,,,
Sumter County,Alabama,13427,,,
Talladega County,Alabama,81762,,,
Tallapoosa County,Alabama,41168,,,
Tuscaloosa County,Alabama,198596,,,
Walker County,Alabama,66221,,,
Washington County,Alabama,17109,,,
Wilcox County,Alabama,11431,,,
Winston County,Alabama,24108,,,
Aleutians East Borough,Alaska,3161,,,
Aleutians West Census Area,Alaska,5547,,,
"Anchorage, Municipality of",Alaska,298610,,,
Bethel Census Area,Alaska,17746,,,
Bristol Bay Borough,Alaska,991,,,
Denali Borough,Alaska,1875,,,
Dillingham Census Area,Alaska,5034,,,
Fairbanks North Star Borough,Alaska,100272,,,
Haines Borough,Alaska,2552,,,
Hoonah-Angoon Census Area,Alaska,2129,,,
"Juneau, City and Borough",Alaska,32556,,,
Kenai Peninsula Borough,Alaska,56900,,,
Ketchikan Gateway Borough,Alaska,13779,,,
Kodiak Island Borough,Alaska,14239,,,
Lake and Peninsula Borough,Alaska,1654,,,
Matanuska-Susitna Borough,Alaska,93925,,,
Nome Census Area,Alaska,9915,,,
North Slope Borough,Alaska,9643,,,
Northwest Arctic Borough,Alaska,7810,,,
Petersburg Census Area,Alaska,3844,,,
