state,county,2003 Continuum,2003 Influence,Less high 1990,High diploma 1990,Some college 1990,Bachelors or higher 1990,Per less high 1990,Per high diploma 1990,Per some college 1990,Per bachelors or higher 1990,Less high 2000,High diploma 2000,Some college 2000,Bachelors or higher 2000,Per less high 2000,Per high diploma 2000,Per some college 2000,Per bachelors or higher 2000,2013 Continuum,2013 Urban Influence Code,Less high 2011,High diploma 2011,Some college 2011,Bachelors or higher 2011,Per less high 2011,Per high diploma 2011,Per some college 2011,Per bachelors or higher 2011
Alabama,Autauga County,2,2,6252,6671,4912,3026,30.0,32.0,23.5,14.5,5872,9332,7413,4972,21.3,33.8,26.9,18.0,2,2,4656,12182,11044,8437,12.8,33.5,30.4,23.2
Alabama,Baldwin County,4,5,17309,20544,15900,10870,26.8,31.8,24.6,16.8,17258,28428,28178,22146,18.0,29.6,29.3,23.1,3,2,14360,39431,43500,39710,10.5,28.8,31.8,29.0
Alabama,Barbour County,6,6,6965,4258,2622,1857,44.4,27.1,16.7,11.8,6679,6124,4025,2068,35.3,32.4,21.3,10.9,6,6,5021,6490,4943,2354,26.7,34.5,26.3,12.5
Alabama,Bibb County,1,1,4850,3407,1332,476,48.2,33.8,13.2,4.7,4984,4838,2756,962,36.8,35.7,20.4,7.1,1,1,3024,6574,4367,1664,19.3,42.1,27.9,10.6
Alabama,Blount County,1,1,9960,8763,4745,1773,39.5,34.7,18.8,7.0,9960,12136,8371,3235,29.6,36.0,24.8,9.6,1,1,8472,13179,12677,5080,21.5,33.4,32.2,12.9
Alabama,Bullock County,6,6,3428,1669,954,676,51.0,24.8,14.2,10.0,2992,2667,1325,586,39.5,35.2,17.5,7.7,6,6,2614,2478,1315,1031,35.1,33.3,17.7,13.9
Alabama,Butler County,6,6,6374,3927,2106,1083,47.2,29.1,15.6,8.0,4439,4749,3146,1433,32.2,34.5,22.9,10.4,6,6,3102,5274,3588,2032,22.2,37.7,25.6,14.5
Alabama,Calhoun County,3,2,23633,21711,16835,10266,32.6,30.0,23.2,14.2,19318,23856,19576,11265,26.1,32.2,26.4,15.2,3,2,15021,25062,24799,13818,19.1,31.8,31.5,17.6
Alabama,Chambers County,6,5,10833,6749,3998,2101,45.7,28.5,16.9,8.9,8778,7863,5517,2339,35.8,32.1,22.5,9.5,6,5,5019,9140,6896,2759,21.1,38.4,29.0,11.6
Alabama,Cherokee County,8,6,6030,4092,1966,866,46.5,31.6,15.2,6.7,6138,5865,3186,1636,36.5,34.9,18.9,9.7,6,6,3840,6828,5488,2578,20.5,36.4,29.3,13.8
Alabama,Chilton County,1,1,9023,6770,3438,1550,43.4,32.6,16.5,7.5,8757,9264,5307,2574,33.8,35.8,20.5,9.9,1,1,6364,11562,7395,4151,21.6,39.2,25.1,14.1
Alabama,Choctaw County,9,10,4482,3070,1418,836,45.7,31.3,14.5,8.5,3704,3670,2182,1013,35.0,34.7,20.6,9.6,9,10,2250,3512,2646,1126,23.6,36.8,27.8,11.8
Alabama,Clarke County,7,11,6471,5445,2614,1755,39.7,33.4,16.1,10.8,5165,6667,3733,2137,29.2,37.7,21.1,12.1,7,11,3339,7515,4057,2217,19.5,43.9,23.7,12.9
Alabama,Clay County,9,10,3999,2692,1340,628,46.2,31.1,15.5,7.3,3322,3690,1992,763,34.0,37.8,20.4,7.8,9,10,2377,3460,2784,914,24.9,36.3,29.2,9.6
