county,nov_rate,state,year,2008_pop_est,total area sqmi,water area,land area
Autauga County,6.1,Alabama,2008,53277,604.45,8.48,595.97
Baldwin County,5.6,Alabama,2008,175827,2026.93,430.58,1596.35
Barbour County,8.8,Alabama,2008,27808,904.52,19.61,884.9
Bibb County,7.1,Alabama,2008,22705,626.16,3.14,623.03
Blount County,5.7,Alabama,2008,57055,650.6,5.02,645.59
Bullock County,12.9,Alabama,2008,10953,626.06,1.04,625.01
Butler County,9.9,Alabama,2008,20949,777.92,1.05,776.87
Calhoun County,7,Alabama,2008,117274,612.32,3.86,608.46
Chambers County,16.7,Alabama,2008,34563,603.11,5.94,597.17
Cherokee County,7.3,Alabama,2008,25636,599.95,46.83,553.12
Chilton County,6.4,Alabama,2008,43239,700.76,6.78,693.98
Choctaw County,8.4,Alabama,2008,14114,920.85,7.34,913.51
Clarke County,9.9,Alabama,2008,26283,1252.51,14.13,1238.38
Clay County,10.3,Alabama,2008,14161,606,0.93,605.07
Cleburne County,5.8,Alabama,2008,14874,561.02,0.81,560.21
Coffee County,5.6,Alabama,2008,48516,680.48,1.49,678.99
Colbert County,7.5,Alabama,2008,54473,623.61,29.08,594.53
Conecuh County,10.3,Alabama,2008,13388,852.51,1.71,850.79
Coosa County,11.6,Alabama,2008,11493,666.36,13.91,652.44
Covington County,7.1,Alabama,2008,37545,1043.86,10.05,1033.82
Crenshaw County,6.1,Alabama,2008,13922,610.88,1.3,609.58
Cullman County,5.9,Alabama,2008,80273,754.82,16.39,738.43
Dale County,6.2,Alabama,2008,49871,562.67,1.6,561.07
Dallas County,13.2,Alabama,2008,44265,993.37,12.66,980.71
Dekalb County,8.9,Alabama,2008,70228,778.65,0.74,777.91
Elmore County,6.4,Alabama,2008,77698,657.21,35.96,621.26
Escambia County,8.5,Alabama,2008,37929,952.95,5.57,947.38
Etowah County,7,Alabama,2008,104206,548.75,13.93,534.82
Fayette County,8,Alabama,2008,17541,629.34,1.68,627.66
Franklin County,10.5,Alabama,2008,31459,646.51,10.86,635.64
Geneva County,7.4,Alabama,2008,26646,578.9,2.62,576.28
Greene County,9.6,Alabama,2008,9359,659.93,14.07,645.87
Hale County,8.9,Alabama,2008,16260,656.47,12.74,643.74
Henry County,6.8,Alabama,2008,17129,568.33,6.53,561.8
Houston County,5.8,Alabama,2008,99183,581.65,1.29,580.36
Jackson County,8.2,Alabama,2008,53525,1126.77,48.02,1078.74
Jefferson County,6.3,Alabama,2008,656510,1123.8,11.2,1112.61
Lamar County,9.9,Alabama,2008,14799,605.47,0.62,604.85
Lauderdale County,6.4,Alabama,2008,92202,718.78,49.32,669.46
Lawrence County,7.6,Alabama,2008,34196,718.07,24.68,693.38
Lee County,5.8,Alabama,2008,134524,615.55,6.84,608.71
Limestone County,5.7,Alabama,2008,78835,607.08,39.03,568.05
Lowndes County,13.1,Alabama,2008,11813,725.03,7.1,717.94
Macon County,8,Alabama,2008,21597,613.24,2.72,610.52
Madison County,4.7,Alabama,2008,323526,812.85,7.93,804.92
Marengo County,7.8,Alabama,2008,21331,982.85,5.8,977.04
Marion County,12.5,Alabama,2008,30918,743.57,2.16,741.41
Marshall County,5.9,Alabama,2008,91072,623.16,56.1,567.06
Mobile County,6.6,Alabama,2008,409196,1644.02,410.93,1233.09
