county,nov_rate,state,year,2016_pop_est,total area sqmi,water area,land area,per_pov,med_income
Autauga County,5,Alabama,2016,55416,604.45,8.48,595.97,13.5,54487
Baldwin County,5.2,Alabama,2016,208563,2026.93,430.58,1596.35,11.7,56460
Barbour County,8.1,Alabama,2016,25965,904.52,19.61,884.9,29.9,32884
Bibb County,6.2,Alabama,2016,22643,626.16,3.14,623.03,20.1,43079
Blount County,5.1,Alabama,2016,57704,650.6,5.02,645.59,14.1,47213
Bullock County,7.6,Alabama,2016,10362,626.06,1.04,625.01,32.6,34278
Butler County,6.5,Alabama,2016,19998,777.92,1.05,776.87,24.8,35409
Calhoun County,6.3,Alabama,2016,114611,612.32,3.86,608.46,17.1,41778
Chambers County,5.1,Alabama,2016,33843,603.11,5.94,597.17,19.9,39530
Cherokee County,5,Alabama,2016,25725,599.95,46.83,553.12,16.8,41456
Chilton County,5.3,Alabama,2016,43941,700.76,6.78,693.98,18.3,44188
Choctaw County,8.6,Alabama,2016,12993,920.85,7.34,913.51,22.7,32691
Clarke County,10.8,Alabama,2016,24392,1252.51,14.13,1238.38,29.0,34061
Clay County,5.8,Alabama,2016,13492,606,0.93,605.07,18.9,38512
Cleburne County,5.6,Alabama,2016,14924,561.02,0.81,560.21,17.2,43483
Coffee County,5.6,Alabama,2016,51226,680.48,1.49,678.99,14.4,48632
Colbert County,6.5,Alabama,2016,54216,623.61,29.08,594.53,16.7,46572
Conecuh County,8.1,Alabama,2016,12395,852.51,1.71,850.79,28.1,29758
Coosa County,6.4,Alabama,2016,10581,666.36,13.91,652.44,17.5,36441
Covington County,6.6,Alabama,2016,37458,1043.86,10.05,1033.82,19.6,35010
Crenshaw County,5.8,Alabama,2016,13913,610.88,1.3,609.58,20.5,37374
Cullman County,4.7,Alabama,2016,82471,754.82,16.39,738.43,14.9,41543
Dale County,5.5,Alabama,2016,49226,562.67,1.6,561.07,20.6,40523
Dallas County,8.6,Alabama,2016,40008,993.37,12.66,980.71,35.4,30488
Dekalb County,5.9,Alabama,2016,70900,778.65,0.74,777.91,20.5,37128
Elmore County,4.7,Alabama,2016,81799,657.21,35.96,621.26,13.5,54553
