county,state,sq ki
,,
,,
Autauga,Alabama,1543.7
Baldwin,Alabama,4135
Barbour,Alabama,2292.1
Bibb,Alabama,1611.9
Blount,Alabama,1672.3
Bullock,Alabama,1618.9
Butler,Alabama,2012.3
Calhoun,Alabama,1576
Chambers,Alabama,1547.3
Cherokee,Alabama,1432.7
Chilton,Alabama,1797.6
Choctaw,Alabama,2366.2
Clarke,Alabama,3207.7
Clay,Alabama,1567.3
Cleburne,Alabama,1450.9
Coffee,Alabama,1759.1
Colbert,Alabama,1539.9
Conecuh,Alabama,2203.8
Coosa,Alabama,1690
Covington,Alabama,2679.9
Crenshaw,Alabama,1578.9
Cullman,Alabama,1912.7
Dale,Alabama,1453.3
Dallas,Alabama,2540.3
DeKalb,Alabama,2015
Elmore,Alabama,1609.9
Escambia,Alabama,2454
Etowah,Alabama,1385.2
Fayette,Alabama,1626
Franklin,Alabama,1646.4
Geneva,Alabama,1492.8
Greene,Alabama,1673
Hale,Alabama,1667.4
Henry,Alabama,1455.5
Houston,Alabama,1503.3
Jackson,Alabama,2794.1
Jefferson,Alabama,2881.8
Lamar,Alabama,1566.7
Lauderdale,Alabama,1734.1
Lawrence,Alabama,1796
Lee,Alabama,1576.8
Limestone,Alabama,1471.4
Lowndes,Alabama,1859.6
Macon,Alabama,1581.4
Madison,Alabama,2084.8
Marengo,Alabama,2530.7
Marion,Alabama,1920.4
Marshall,Alabama,1468.8
Mobile,Alabama,3194.4
Monroe,Alabama,2657.3
Montgomery,Alabama,2045.8
Morgan,Alabama,1508
Perry,Alabama,1863.6
Pickens,Alabama,2283
Pike,Alabama,1738.1
Randolph,Alabama,1505
Russell,Alabama,1660.5
St.,Alabama,1642
Shelby,Alabama,2058.8
Sumter,Alabama,2343.9
Talladega,Alabama,1915.6
Tallapoosa,Alabama,1859.7
Tuscaloosa,Alabama,3432.4
Walker,Alabama,2057.6
Washington,Alabama,2799.1
Wilcox,Alabama,2301.9
Winston,Alabama,1591.5
Aleutians,Alaska,18090.5
Aleutians,Alaska,11401.5
Anchorage,Alaska,4396.9
Bethel,Alaska,106416.4
Bristol,Alaska,1344.8
,,
Dillingham,Alaska,47829.3
Fairbanks,Alaska,19068.7
Haines,Alaska,6104.6
,,
Juneau,Alaska,6717.3
Kenai,Alaska,41644.4
Ketchikan,Alaska,3158.9
Kodiak,Alaska,16738.1
Lake,Alaska,61207.7
Matanuska-Susitna,Alaska,63956.5
Nome,Alaska,59602.5
North,Alaska,227558.7
Northwest,Alaska,92883.8
,,
Prince,Alaska,18970.4
Sitka,Alaska,7463
Skagway-Yakutat-Angoon,Alaska,33360.8
Southeast,Alaska,67324.7
Valdez-Cordova,Alaska,95688.5
Wade,Alaska,44351.4
Wrangell-Petersburg,Alaska,15044.1
Yukon-Koyukuk,Alaska,406944.1
Apache,Arizona,29022.7
Cochise,Arizona,15980.3
Coconino,Arizona,48223.5
Gila,Arizona,12349.3
Graham,Arizona,11990.8
Greenlee,Arizona,4784.1
La,Arizona,11653.9
Maricopa,Arizona,23838.5
Mohave,Arizona,34479.2
Navajo,Arizona,25780.3
Pima,Arizona,23794.3
Pinal,Arizona,13908.3
Santa,Arizona,3205.8
